Nome do curso||IDs do curso
Correios Agente de Correios Carteiro 2024 Pos Edital SO PDF||140320
Correios Agente de Correios Carteiro 2024 Pos Edital||140316, 140315, 140314, 140313, 140312, 140311, 140310, 140309, 140308, 140298, 140299, 140300, 140301, 140302, 140303, 140304, 140305, 140306, 140307, 140288, 140289, 140290, 140291, 140292, 140293, 140294, 140295, 140296, 140297, 140278, 140279, 140280, 140281, 140282, 140283, 140284, 140285, 140286, 140287, 140270, 140271, 140272, 140273, 140274, 140275, 140276, 140277
Literature Wondrium 2024||140266, 140265, 140264, 140263, 140262, 140261, 140260, 140250, 140251, 140252, 140253, 140254, 140255, 140256, 140257, 140258, 140259, 140240, 140241, 140242, 140243, 140244, 140245, 140246, 140247, 140248, 140249, 140230, 140231, 140232, 140233, 140234, 140235, 140236, 140237, 140238, 140239, 140220, 140221, 140222, 140223, 140224, 140225, 140226, 140227, 140228, 140229, 140210, 140211, 140212, 140213, 140214, 140215, 140216, 140217, 140218, 140219, 140200, 140201, 140202, 140203, 140204, 140205, 140206, 140207, 140208, 140209, 140190, 140191, 140192, 140193, 140194, 140195, 140196, 140197, 140198, 140199, 140180, 140181, 140182, 140183, 140184, 140185, 140186, 140187, 140188, 140189, 140170, 140171, 140172, 140173, 140174, 140175, 140176, 140177, 140178, 140179, 140160, 140161, 140162, 140163, 140164, 140165, 140166, 140167, 140168, 140169, 140150, 140151, 140152, 140153, 140154, 140155, 140156, 140157, 140158, 140159, 140140, 140141, 140142, 140143, 140144, 140145, 140146, 140147, 140148, 140149, 140130, 140131, 140132, 140133, 140134, 140135, 140136, 140137, 140138, 140139, 140120, 140121, 140122, 140123, 140124, 140125, 140126, 140127, 140128, 140129, 140110, 140111, 140112, 140113, 140114, 140115, 140116, 140117, 140118, 140119, 140100, 140101, 140102, 140103, 140104, 140105, 140106, 140107, 140108, 140109, 140090, 140091, 140092, 140093, 140094, 140095, 140096, 140097, 140098, 140099, 140080, 140081, 140082, 140083, 140084, 140085, 140086, 140087, 140088, 140089, 140070, 140071, 140072, 140073, 140074, 140075, 140076, 140077, 140078, 140079, 140060, 140061, 140062, 140063, 140064, 140065, 140066, 140067, 140069, 140068, 140050, 140051, 140052, 140053, 140054, 140055, 140056, 140057, 140058, 140059, 140040, 140041, 140042, 140043, 140044, 140045, 140046, 140047, 140048, 140049, 140030, 140031, 140032, 140033, 140034, 140035, 140036, 140037, 140038, 140039, 140020, 140021, 140022, 140023, 140024, 140025, 140026, 140027, 140028, 140029, 140010, 140011, 140012, 140013, 140014, 140015, 140016, 140017, 140018, 140019, 140000, 140001, 140002, 140003, 140004, 140005, 140006, 140007, 140008, 140009, 139990, 139991, 139992, 139993, 139994, 139995, 139996, 139997, 139998, 139999, 139980, 139981, 139982, 139983, 139984, 139985, 139986, 139987, 139988, 139989, 139972, 139973, 139974, 139975, 139976, 139977, 139978, 139979
Zero To Infinity A History Of Numbers Wondrium 2024||139968, 139967, 139966, 139965, 139964, 139963
Multi cloud Comparison AWS Azure GCP Mark Wilkins||139960, 139959
Getting Started with Microsoft Power Apps Jeremy Nathan||139955
Getting Started with AutoGen Lucas Soares||139951, 139950, 139949, 139948
Generative AI for Finance Rajendra Shroff||139944
Applying critical thinking Connie Missimer||139940
AI ML Tools for Deep Learning LLMs Rob Barton||139936, 139935, 139934, 139933, 139932, 139931, 139930
AI Google Cloud Services Dan Sullivan||139926, 139925, 139924, 139923
Mastering Microsoft Excel Charts Dawn Griffiths||139919
Malware Hunting and Analysis Aamir Lakhani||139915
Dominando o Calculo Tem Ciencia||139911, 139910, 139909, 139908, 139907, 139906, 139905, 139904, 139903, 139902, 139901, 139900
Metodo DNA do Lucro 2 0 Magno Fernandes 2023||139896, 139895
Using ChatGPT to Boost Productivity David Griffiths||139891, 139890, 139889
Python Data Structures and Comprehensions Arianne Dee||139885, 139884
Power BI Bootcamp Florencia Hourcouripe||139873, 139874, 139875, 139876, 139877, 139878, 139879, 139880
IntelliJ Wizardry with AI Assistant Heinz Kabutz||139869, 139868, 139867, 139866
GitHub Copilot for Developers Tim Warner||139862, 139861
Ethical Hacking Recon and Dark Web Joseph Mlodzianowski||139857, 139856
Design Patterns Boot Camp Elisabeth Robson Eric T Freeman||139852
Data Visualization Projects in Practice Muhammad Adeel||139848
Data Lakehouse Fundamentals Janani Ravi||139844
AWS Certified Solutions Architect Associate Chad Smith||139840
AI Text to Image Modeling Aamir Lakhani||139836
Spring AI Ken Kousen||139832, 139831, 139830, 139829
RHCSA EX200 Exam Prep Crash Course Imran Afzal||139825, 139824, 139823, 139822
Product Thinking for Engineers Chelsea Troy||139818, 139817, 139816, 139815
Generative AI for Project Management Samuel Parri||139811
Cybersecurity Frameworks Harpreet Kohli||139807
CompTIA Cybersecurity Analyst CySA Aamir Lakhani||139803
Communication Styles for Microservices Neal Ford||139799, 139798, 139797, 139796
ChatGPT for Software Architects Rohit Bhardwaj||139792, 139791, 139790, 139789
Basic Rust Programming Ken Youens Clark||139785
Agile for Everybody Matt LeMay||139781
Whats New in Modern C Andy Olsen||139777
Python Web Development in 3 Weeks Trey Hunner||139773, 139772, 139771, 139770, 139769, 139768, 139767, 139766, 139765, 139764
Ethical Hacking Pen Testing Red Teaming Omar Santos||139760, 139759
Data Literacy Bootcamp Sarah Nooravi||139755, 139754, 139753
Choosing the Right LLM Ed Donner||139749, 139748, 139747, 139746
Certified Kubernetes App Developer Benjamin Muschko||139742, 139741, 139740
Beginning Splunk Karun Subramanian||139736
Ansible in 4 Hours Sander van Vugt||139732
AI and ML Darknet Investigations Joseph Mlodzianowski||139728
SQL and PostgreSQL for Data Analytics Danny Ma||139724
